,name,price,size,reviews,rating,comment
97,Joseph Perrier Champagne '08 (750 ML),$99.99,750 ml,1,5,GREAT VINTAGE CHAMPAGNE
98,Charles Ninot Cremant De Bourgogne Blanc (750 ML),$29.98,750 ml,2,5,BEAUTIFUL TASTE
99,Nino Franco Prosecco Rustico NV (750 ML),$34.99,750 ml,1,5,HATE CHAMPAGNE....LOVE THIS NINO FRANCO!
100,"Mumm Napa Blanc de Blancs, Napa Valley (750 ML)",$26.99,750 ml,0,0,
101,"Mumm Napa Brut Prestige, Napa Valley (750 ML)",$26.99,750 ml,3,3.7,GOOD BUT...
102,"Gruet Brut, New Mexico Sparkling (750 ML)",$21.99,750 ml,1,5,GREAT CHAMPAGNE AT A VERY REASONABLE PRICE!
103,"Gruet Blanc de Noirs, New Mexico Sparkling (750 ML)",$21.99,750 ml,0,0,
104,"Mumm Napa Brut Rose, Napa Valley (750 ML)",$26.99,750 ml,1,4,CLASSY AND AFFORDABLE
105,"Mumm Napa Cuvee M, Napa Valley Sparkling (750 ML)",$26.99,750 ml,5,4.6,MUMM BLUE LABEL USUALLY BUY THE CASE!
106,Amano Prosecco Extra Dry (750 ML),$19.99,750 ml,1,5,EXCELLENT LIVELY BALANCE AND FINISH!
107,Argyle Sparkling Brut (750 ML),$36.99,750 ml,0,0,
108,Cuillier Originel Brut Champagne (750 ML),$59.99,750 ml,0,0,
109,Domaine Carneros Sparkling Brut (750 ML),$47.99,750 ml,0,0,
110,Veuve Clicquot Yellow Label NV (750 ML),$74.99,750 ml,12,3.8,NOT ALWAYS WHAT IT APPEARS
111,Freixenet Cordon Negro (750 ML),$17.99,750 ml,0,0,
112,Veuve Clicquot Demi-Sec (750 ML),$89.99,750 ml,0,0,
113,Chandon Brut Rose (750 ML),$29.99,750 ml,4,5,LOVE THE ROSE
114,Segura Viudas Heredad Reserve Brut Cava (750 ML),$34.99,750 ml,1,5,WONDERFULLY DRY.
