,name,price,size,reviews,rating,comment
21,Close Call Lodi Zinfandel (750 ML),$23.98,750 ml,1,5,TWO THUMBS UP!
22,Athenaeum Napa Valley Cabernet Sauvignon (750 ML),$39.98,750 ml,4,4.5,TEST FANTASTIC
23,Momentous Cabernet Sauvignon (750 ML),$29.98,750 ml,4,4.3,AMAZING
24,Game of Thrones Cabernet (750 ML),$59.99,750 ml,0,0,
25,Zerran Tinto (750 ML),$17.99,750 ml,0,0,
26,Corte Orsini Toscana Rosso IGT (750 ML),$33.98,750 ml,0,0,
27,Tributus Napa Valley Cabernet Sauvignon (750 ML),$44.98,750 ml,6,3.7,TOOTHPASTE
28,Splendid Oak Cabernet Sauvignon (750 ML),$21.98,750 ml,1,4,GREAT WINE FOR THE PRICE!
29,Concentric Petite Sirah Reserve (750 ML),$19.98,750 ml,6,5,VERY GOOD
30,Serabel Cotes du Rhone (750 ML),$18.98,750 ml,5,4,NOT GOOD
31,Vineyard View Cabernet Sauvignon (750 ML),$44.98,750 ml,5,4.2,GREAT TASTING CABERNET!
32,Dark Hundred Red Wine (750 ML),$23.98,750 ml,1,4,ENJOYABLE
33,Settecieli Sangiovese (750 ML),$17.98,750 ml,5,4.6,VERY GOOD
34,Cabpothesis Cabernet Sauvignon (750 ML),$19.98,750 ml,3,3.7,- GREAT WINE FOR THE MONEY
35,Viva La Fruta Sangria (750 ML),$17.98,750 ml,7,4,MEH
36,Bixby Bridge Cab (750 ML),$29.98,750 ml,4,4.8,EASY DRINKING
37,Redwick Red Blend (750 ML),$17.98,750 ml,8,4.1,CENTRAL COAST WINES ARE GREAT
38,Bixby Creek Bridge Napa Valley Red Blend (750 ML),$22.98,750 ml,6,3.7,GREAT PRODUCT FOR THE PRICE.
39,Samuel Charles North Coast Cabernet Sauvignon (750 ML),$24.98,750 ml,2,5,ADD STEAK = DELICIOUS
40,Moral Compass Columbia Valley Cabernet Sauvignon (750 ML),$22.98,750 ml,1,5,PRETTY DARN GOOD BLEND
41,Goldenrod Flower Pinot Noir (750 ML),$48.99,750 ml,0,0,
42,Townhouse Pinot Noir (750 ML),$23.98,750 ml,0,0,
43,Crooked Path Paso Robles Zinfandel (750 ML),$29.98,750 ml,8,3.8,NOT TERRIBLE BUT NOT WORTH $30
44,Gen 5 Lodi Old Vine Zinfandel (750 ML),$19.98,750 ml,12,2.9,GO-TO ZIN
45,Close Call Lodi Zinfandel (750 ML),$23.98,750 ml,1,5,TWO THUMBS UP!
46,Athenaeum Napa Valley Cabernet Sauvignon (750 ML),$39.98,750 ml,4,4.5,TEST FANTASTIC
47,Momentous Cabernet Sauvignon (750 ML),$29.98,750 ml,4,4.3,AMAZING
48,Spottswoode Lyndenhurst Cabernet Sauvignon 2015 (750 ML),$94.99,750 ml,0,0,
49,Stonecap Syrah (750 ML),$11.99,750 ml,0,0,
50,Domaine Faiveley Chambolle-Musigny AC 2016 (750 ML),$109.99,750 ml,0,0,
51,Castle Rock Pinot Noir Reserve San Benito County (750 ML),$24.98,750 ml,1,1,NOT A WINE TO GIVE
52,Delille Cellars 4 Flags Cabernet Sauvignon (750 ML),$79.99,750 ml,0,0,
53,Michael David Freakshow Cabernet Sauvignon (4PK 187 ML),$21.99,4pk 187 ml,0,0,
54,Rodney Strong Upshot Red (750 ML),$23.99,750 ml,1,5,WE LOVE THIS BLEND!
55,St Francis Sonoma County Pinot Noir (750 ML),$24.99,750 ml,0,0,
56,Boen Tri-Appellation Pinot Noir (750 ML),$24.99,750 ml,0,0,
57,Quest Paso Robles Proprietary Red (750 ML),$34.99,750 ml,0,0,
58,Bonanza by Chuck Wagner Cabernet Sauvignon (750 ML),$29.99,750 ml,2,5,PLEASANTLY SURPRISED
59,Poggio Il Castellare Rosso di Montalcino (750 ML),$29.99,750 ml,1,4,A GREAT ITALIAN FOR ANYTIME
60,Twomey Merlot 2015 (750 ML),$79.99,750 ml,0,0,
61,Delarche Aloxe Corton (750 ML),$59.99,750 ml,0,0,
62,Cosmic Egg Cabernet Sauvignon (750 ML),$25.99,750 ml,0,0,
63,Errarzuriz Max Cabernet Sauvignon Reserva (750 ML),$19.99,750 ml,0,0,
64,Nine Hats Malbec (750 ML),$27.99,750 ml,0,0,
65,Spring Valley Vineyards Uriah Red Wine 2015 (750 ML),$59.99,750 ml,0,0,
66,Vietti Barolo Castiglione 2015 (750 ML),$64.99,750 ml,0,0,
67,Samuel Charles Red Blend (750 ML),$24.98,750 ml,1,5,I BUY BY THE CASE
68,Robert Mercer Homestead Edition Cabernet Sauvignon (750 ML),$29.98,750 ml,0,0,
69,Robert Mercer Homestead Edition Red Blend (750 ML),$29.98,750 ml,2,5,A GOOD BUY
70,Vineyard View Red Blend (750 ML),$39.98,750 ml,3,4.7,AMAZING
71,Elouan Pinot Noir (1.5 LTR),$64.99,1.5 ltr,0,0,
72,Markham Cabernet Sauvignon (750 ML),$49.99,750 ml,0,0,
73,Hess Select Cabernet Sauvignon (750 ML),$24.99,750 ml,0,0,
74,Sutter Home Cabernet (4PK 187 ML),$7.99,4pk 187 ml,1,1,BETTER THEN COL. ABERNATHY'S
75,Wild Horse Pinot Noir (750 ML),$22.99,750 ml,3,3.7,WONDERFUL PINOT NOIR
76,Masciarelli Montepulciano d'Abruzzo (750 ML),$14.99,750 ml,0,0,
77,Antinori Chianti Classico Riserva DOCG (750 ML),$44.99,750 ml,0,0,
78,Simi Cabernet Sauvignon (750 ML),$29.99,750 ml,1,5,A VERY NICE CAB.
79,Columbia Crest Merlot Grand Estates (750 ML),$11.99,750 ml,0,0,
80,Ruffino Chianti Classico Aziano (750 ML),$17.99,750 ml,0,0,
81,Georges Duboeuf Domaine de Rosiers Moulin A Vent (750 ML),$26.99,750 ml,1,5,GOOD QPR
82,Duboeuf Beaujolais-Villages (750 ML),$21.99,750 ml,2,5,DELICIOUS GAMAY FROM GEORGE DUBOEUF.
83,Castello d'Albola Chianti Classico DOCG (750 ML),$19.99,750 ml,0,0,
84,Rombauer Merlot (750 ML),$59.99,750 ml,1,5,LOVE ROMBAUER!
85,Joseph Drouhin Savigny-les-Beaune (750 ML),$49.99,750 ml,0,0,
86,Cousino-Macul Cabernet Antiguas (750 ML),$22.99,750 ml,0,0,
87,Borsao Campo Borja (750 ML),$10.99,750 ml,0,0,
88,Argyle Willamette Pinot Noir (750 ML),$27.99,750 ml,0,0,
89,Joseph Drouhin Macon-Villages (750 ML),$18.99,750 ml,0,0,
90,Castello di Volpaia Chianti Classico (750 ML),$26.99,750 ml,2,4.5,UNDER THE TUSCAN SUN
91,Arbor Crest Cabernet '10 (750 ML),$21.99,750 ml,0,0,
92,Concha y Toro Casillero del Diablo Cab (750 ML),$12.99,750 ml,0,0,
93,Francis Coppola Diamond Collection Claret (750 ML),$22.99,750 ml,7,4.9,EASY AND DELICIOUS!
94,Campo Viejo Gran Reserva Rioja (750 ML),$32.99,750 ml,0,0,
95,Robert Mondavi Coastal Merlot (750 ML),$13.99,750 ml,0,0,
0,Nine Hats Riesling (750 ML),$16.99,750 ml,0,0,
1,Kim Crawford Sauvignon Blanc Cans 2 Pack (250 ML),$12.99,250 ml,0,0,
2,Carello Chinetti Sonoma County Chardonnay (750 ML),$24.98,750 ml,2,5,ELEGANT CHARDONNAY
3,Fly By Napa Valley Sauvignon Blanc (750 ML),$24.98,750 ml,5,4.4,NICE
4,Per Sempre Napa Valley Chardonnay (750 ML),$49.99,750 ml,0,0,
5,Lillie's Sauvignon Blanc (750 ML),$19.98,750 ml,8,3.9,FAB SAV BLANC
6,Arius Chardonnay (750 ML),$25.98,750 ml,3,4.3,DELICIOUS!
7,Momentous Chardonnay (750 ML),$23.98,750 ml,3,5,SHHHHHH
8,Coppola Director's Central Coast Chardonnay (750 ML),$19.98,750 ml,13,3.6,VERY GOOD WINE
9,Donovan-Parke Chardonnay (750 ML),$17.98,750 ml,4,4.3,SIMPLE AND GOOD
10,Rocklin Ranch Chardonnay (750 ML),$23.98,750 ml,5,4.6,CLASSIS
11,Gina Moscato (750 ML),$18.98,750 ml,10,4.5,WEAK MOSCATO
12,Craftwork Chardonnay (750 ML),$23.98,750 ml,5,3.4,GREAT PAIRING WINE
13,Quinton Paso Robles Viognier (750 ML),$15.98,750 ml,14,3.4,EASY DRINKING
14,STONECAP MERLOT (750 ML),$11.99,750 ml,0,0,
15,Browne Sauvignon Blanc (750 ML),$17.99,750 ml,0,0,
16,Scarpetta Pinot Grigio (750 ML),$17.99,750 ml,3,4.7,GREAT VALUE
17,House Wine Chardonnay Can (375 ML),$6.99,375 ml,0,0,
18,Bread and Butter Chardonnay (750 ML),$19.99,750 ml,1,5,GREAT UNIQUE FLAVORS
19,Le Petit Silex Sancerre (750 ML),$28.99,750 ml,0,0,
20,Lincourt Steel Chardonnay Santa Rita Hills (750 ML),$22.99,750 ml,0,0,
21,Dark Horse Pinot Grigio Can (375 ML),$6.99,375 ml,0,0,
22,Clair de Lune Riesling (750 ML),$15.98,750 ml,2,3,BALANCED JUST RIGHT
23,Jam Cellars Butter Chardonnay (4PK 250ML),$23.99,4pk 250ml,0,0,
25,Kim Crawford Sauvignon Blanc Cans 2 Pack (250 ML),$12.99,250 ml,0,0,
26,Carello Chinetti Sonoma County Chardonnay (750 ML),$24.98,750 ml,2,5,ELEGANT CHARDONNAY
27,Fly By Napa Valley Sauvignon Blanc (750 ML),$24.98,750 ml,5,4.4,NICE
28,Per Sempre Napa Valley Chardonnay (750 ML),$49.99,750 ml,0,0,
29,Lillie's Sauvignon Blanc (750 ML),$19.98,750 ml,8,3.9,FAB SAV BLANC
30,Arius Chardonnay (750 ML),$25.98,750 ml,3,4.3,DELICIOUS!
31,Momentous Chardonnay (750 ML),$23.98,750 ml,3,5,SHHHHHH
32,Coppola Director's Central Coast Chardonnay (750 ML),$19.98,750 ml,13,3.6,VERY GOOD WINE
33,Donovan-Parke Chardonnay (750 ML),$17.98,750 ml,4,4.3,SIMPLE AND GOOD
34,Rocklin Ranch Chardonnay (750 ML),$23.98,750 ml,5,4.6,CLASSIS
35,Gina Moscato (750 ML),$18.98,750 ml,10,4.5,WEAK MOSCATO
36,Craftwork Chardonnay (750 ML),$23.98,750 ml,5,3.4,GREAT PAIRING WINE
37,Quinton Paso Robles Viognier (750 ML),$15.98,750 ml,14,3.4,EASY DRINKING
38,STONECAP MERLOT (750 ML),$11.99,750 ml,0,0,
39,Browne Sauvignon Blanc (750 ML),$17.99,750 ml,0,0,
40,Scarpetta Pinot Grigio (750 ML),$17.99,750 ml,3,4.7,GREAT VALUE
41,House Wine Chardonnay Can (375 ML),$6.99,375 ml,0,0,
42,Bread and Butter Chardonnay (750 ML),$19.99,750 ml,1,5,GREAT UNIQUE FLAVORS
43,Le Petit Silex Sancerre (750 ML),$28.99,750 ml,0,0,
44,Lincourt Steel Chardonnay Santa Rita Hills (750 ML),$22.99,750 ml,0,0,
45,Dark Horse Pinot Grigio Can (375 ML),$6.99,375 ml,0,0,
46,Clair de Lune Riesling (750 ML),$15.98,750 ml,2,3,BALANCED JUST RIGHT
47,Jam Cellars Butter Chardonnay (4PK 250ML),$23.99,4pk 250ml,0,0,
48,Nine Hats Riesling (750 ML),$16.99,750 ml,0,0,
49,Kim Crawford Sauvignon Blanc Cans 2 Pack (250 ML),$12.99,250 ml,0,0,
50,Carello Chinetti Sonoma County Chardonnay (750 ML),$24.98,750 ml,2,5,ELEGANT CHARDONNAY
52,Per Sempre Napa Valley Chardonnay (750 ML),$49.99,750 ml,0,0,
53,Lillie's Sauvignon Blanc (750 ML),$19.98,750 ml,8,3.9,FAB SAV BLANC
54,Arius Chardonnay (750 ML),$25.98,750 ml,3,4.3,DELICIOUS!
55,Momentous Chardonnay (750 ML),$23.98,750 ml,3,5,SHHHHHH
58,Rocklin Ranch Chardonnay (750 ML),$23.98,750 ml,5,4.6,CLASSIS
59,Gina Moscato (750 ML),$18.98,750 ml,10,4.5,WEAK MOSCATO
60,Craftwork Chardonnay (750 ML),$23.98,750 ml,5,3.4,GREAT PAIRING WINE
61,Quinton Paso Robles Viognier (750 ML),$15.98,750 ml,14,3.4,EASY DRINKING
62,STONECAP MERLOT (750 ML),$11.99,750 ml,0,0,
63,Browne Sauvignon Blanc (750 ML),$17.99,750 ml,0,0,
64,Scarpetta Pinot Grigio (750 ML),$17.99,750 ml,3,4.7,GREAT VALUE
65,House Wine Chardonnay Can (375 ML),$6.99,375 ml,0,0,
66,Bread and Butter Chardonnay (750 ML),$19.99,750 ml,1,5,GREAT UNIQUE FLAVORS
67,Le Petit Silex Sancerre (750 ML),$28.99,750 ml,0,0,
68,Lincourt Steel Chardonnay Santa Rita Hills (750 ML),$22.99,750 ml,0,0,
69,Dark Horse Pinot Grigio Can (375 ML),$6.99,375 ml,0,0,
70,Clair de Lune Riesling (750 ML),$15.98,750 ml,2,3,BALANCED JUST RIGHT
71,Jam Cellars Butter Chardonnay (4PK 250ML),$23.99,4pk 250ml,0,0,
72,Black Box Sauvignon Blanc '08 (3 LTR BOX),$24.99,3 ltr box,0,0,
73,La Crema Chardonnay Monterey County (750 ML),$21.99,750 ml,0,0,
74,Sutter Home Moscato (4PK 187 ML),$7.99,4pk 187 ml,0,0,
75,Castle Rock Sauvignon Blanc (750 ML),$10.99,750 ml,0,0,
76,Decoy by Duckhorn Chardonnay (750 ML),$24.99,750 ml,0,0,
77,Luisi Moscato D'asti (750 ML),$21.98,750 ml,21,4.6,VERY SWEET
78,Cupcake Pinot Grigio (750 ML),$12.99,750 ml,0,0,
79,Primo Amore Moscato (750 ML),$17.99,750 ml,8,5,"""DELICIOUSLY SWEET"""
80,Delille Chaleur Blanc (750 ML),$49.99,750 ml,0,0,
81,Canoe Ridge Expedition Pinot Gris (750 ML),$18.99,750 ml,0,0,
82,Arancio Pinot Grigio (750 ML),$17.98,750 ml,2,2.5,THE TASTE IS DULL
83,Stateland Cellars Chardonnay Reserve (750 ML),$29.98,750 ml,7,3.6,"REALLY NICE WINE, BUT A BIT EXPENSIVE."
84,Ray's Creek Vineyards Chardonnay (750 ML),$19.98,750 ml,6,4.2,"GREAT TASTE, GREAT PRICE"
85,Buena Vista Carneros Chardonnay (750 ML),$29.98,750 ml,0,0,
86,Waterbrook Chardonnay Reserve (750 ML),$16.99,750 ml,0,0,
87,De Loach Chardonnay Central Coast (750 ML),$19.98,750 ml,2,4,SO SO
88,Quinton Chardonnay (750 ML),$15.98,750 ml,4,3.3,UNUSUAL TASTE FOR A CHARDONNAY
89,La Crema Chardonnay Sonoma Coast (375 ML),$13.99,375 ml,0,0,
90,La Crema Pinot Gris (750 ML),$22.99,750 ml,1,4,"BRIGHT, FULL, LIGHT, DELICIOUS"
91,Joel Gott Pinot Gris (750 ML),$24.99,750 ml,0,0,
92,Chloe Pinot Grigio (750 ML),$19.99,750 ml,1,4,"MILD, YET CRISP."
93,Coyote Canyon Andrews Red Table Wine (750 ML),$38.99,750 ml,0,0,
94,Dunham Shirley Mays Chardonnay (750 ML),$27.99,750 ml,0,0,
95,James Bryant Hill Chardonnay (750 ML),$19.98,750 ml,1,5,MER SOLEIL COMPETITOR
96,Black Box Sauvignon Blanc '08 (3 LTR BOX),$24.99,3 ltr box,0,0,
97,La Crema Chardonnay Monterey County (750 ML),$21.99,750 ml,0,0,
98,Sutter Home Moscato (4PK 187 ML),$7.99,4pk 187 ml,0,0,
99,Castle Rock Sauvignon Blanc (750 ML),$10.99,750 ml,0,0,
100,Decoy by Duckhorn Chardonnay (750 ML),$24.99,750 ml,0,0,
101,Luisi Moscato D'asti (750 ML),$21.98,750 ml,21,4.6,VERY SWEET
102,Cupcake Pinot Grigio (750 ML),$12.99,750 ml,0,0,
103,Primo Amore Moscato (750 ML),$17.99,750 ml,8,5,"""DELICIOUSLY SWEET"""
104,Delille Chaleur Blanc (750 ML),$49.99,750 ml,0,0,
105,Canoe Ridge Expedition Pinot Gris (750 ML),$18.99,750 ml,0,0,
106,Arancio Pinot Grigio (750 ML),$17.98,750 ml,2,2.5,THE TASTE IS DULL
107,Stateland Cellars Chardonnay Reserve (750 ML),$29.98,750 ml,7,3.6,"REALLY NICE WINE, BUT A BIT EXPENSIVE."
108,Ray's Creek Vineyards Chardonnay (750 ML),$19.98,750 ml,6,4.2,"GREAT TASTE, GREAT PRICE"
109,Buena Vista Carneros Chardonnay (750 ML),$29.98,750 ml,0,0,
110,Waterbrook Chardonnay Reserve (750 ML),$16.99,750 ml,0,0,
111,De Loach Chardonnay Central Coast (750 ML),$19.98,750 ml,2,4,SO SO
112,Quinton Chardonnay (750 ML),$15.98,750 ml,4,3.3,UNUSUAL TASTE FOR A CHARDONNAY
113,La Crema Chardonnay Sonoma Coast (375 ML),$13.99,375 ml,0,0,
124,Chateau Ste Michelle Indian Wells Chardonnay (750 ML),$16.99,750 ml,1,5,ENJOY
125,Ch Ste Michelle Sauvignon Blanc (750 ML),$12.99,750 ml,0,0,
126,Daou Paso Robles Chardonnay (750 ML),$24.99,750 ml,0,0,
127,Limited Barrel Knights Valley Chardonnay (750 ML),$23.98,750 ml,0,0,
128,Willamette Valley Vineyards Riesling (750 ML),$17.99,750 ml,5,5,FANTASTIC RIESLING!
129,Giapoza Sonoma Coast Chardonnay (750 ML),$23.95,750 ml,0,0,
130,Seaglass Pinot Grigio (750 ML),$15.99,750 ml,0,0,
131,Amity Willamette Valley Pinot Blanc (750 ML),$24.99,750 ml,0,0,
132,K Vintners Viogner (750 ML),$34.99,750 ml,0,0,
133,Chehalem Three Vineyard Pinot Gris (750 ML),$26.99,750 ml,0,0,
134,Gunderloch Riesling Kabinett Baptiste'07 (750 ML),$24.99,750 ml,0,0,
135,Chateau Ste Michelle Sweet Riesling (750 ML),$14.99,750 ml,4,4.8,WONDERFUL FLAVOR
136,McBride Sisters Black Girl Magic Riesling (750 ML),$29.99,750 ml,1,5,DELICIOUS
137,Wente Vineyards LTD Chardonnay (750 ML),$23.98,750 ml,3,2.7,WILL DEFINITELY KEEP BUYING
138,Duckhorn Vineyards Chardonnay Napa Valley (750 ML),$44.99,750 ml,1,5,BEST CHARDONNAY I'VE TASTED
139,Silverado Sauvignon Blanc Miller Ranch (750 ML),$27.99,750 ml,3,3.7,BEST VALUE
140,Wente Riva Ranch Chardonnay (750 ML),$24.99,750 ml,5,4.8,BEST CA CHARD FOR THE PRICE
141,Black Box Pinot Grigio '07 (3 LTR BOX),$24.99,3 ltr box,1,1,NOPE. NEVER AGAIN.
142,StoneCap Columbia Valley Chardonnay (750 ML),$11.99,750 ml,0,0,
143,Josh Cellars Chardonnay 375mL (375 ML),$9.99,375 ml,0,0,
0,Stella Rosa Rose (750 ML),$19.99,750 ml,2,5,GREAT SPRING/SUMMER SELECTION
1,Domaines Ott BY.OTT Rose (750 ML),$34.99,750 ml,0,0,
2,Dolce Vita Rose (750 ML),$17.98,750 ml,2,5,LOVELY ROSE
3,Kendall-Jackson Vintner's Reserve Rose (750 ML),$19.99,750 ml,0,0,
4,Joseph Perrier Brut Royale Rose Champagne (1.5 LTR),$149.99,1.5 ltr,0,0,
5,House Wine Rose Can (375 ML),$6.99,375 ml,0,0,
6,Clair de Lune Rose (750 ML),$15.98,750 ml,4,4,SO SOUR!!
7,Sutter Home Rose (4PK 187 ML),$6.99,4pk 187 ml,0,0,
8,Edna Valley Rose (750 ML),$14.99,750 ml,0,0,
9,Rose All Day Rose (750 ML),$14.99,750 ml,0,0,
10,CaMaiol Chiaretto Rose (750 ML),$16.99,750 ml,0,0,
11,Underwood Rose Bubbles (375 ML),$7.99,375 ml,0,0,
12,Cascadian Outfitters Sparkling Rose (375 ML),$5.99,375 ml,1,5,BEST SPARKLING ROSE' IN A CAN!
13,Antiquus Costieres De Nimes Rose (750 ML),$29.98,750 ml,0,0,
14,Sutter Home FRE Sparkling Rose 4 PK (4PK 250ML),$12.99,4pk 250ml,1,5,QUALITY NA BEVERAGE!
18,L'Excellence des Muraires Rose de Provence by Bernard Magrez (750 ML),$39.98,750 ml,0,0,
19,Underwood Rose in a can (375 ML),$7.99,375 ml,2,3.5,NOT VERY GOOD.
20,Gerard Bertrand Cote des Roses (375 ML),$11.99,375 ml,0,0,
21,Sutter Home White Zinfandel (4PK 187 ML),$7.99,4pk 187 ml,0,0,
22,Beringer Main & Vine White Merlot (750 ML),$9.99,750 ml,3,4,GREAT SURPRISE
28,Joseph Perrier Brut Royale Rose Champagne (1.5 LTR),$149.99,1.5 ltr,0,0,
29,House Wine Rose Can (375 ML),$6.99,375 ml,0,0,
30,Clair de Lune Rose (750 ML),$15.98,750 ml,4,4,SO SOUR!!
31,Sutter Home Rose (4PK 187 ML),$6.99,4pk 187 ml,0,0,
32,Edna Valley Rose (750 ML),$14.99,750 ml,0,0,
33,Rose All Day Rose (750 ML),$14.99,750 ml,0,0,
34,CaMaiol Chiaretto Rose (750 ML),$16.99,750 ml,0,0,
35,Underwood Rose Bubbles (375 ML),$7.99,375 ml,0,0,
36,Cascadian Outfitters Sparkling Rose (375 ML),$5.99,375 ml,1,5,BEST SPARKLING ROSE' IN A CAN!
37,Antiquus Costieres De Nimes Rose (750 ML),$29.98,750 ml,0,0,
38,Sutter Home FRE Sparkling Rose 4 PK (4PK 250ML),$12.99,4pk 250ml,1,5,QUALITY NA BEVERAGE!
39,Roscato Rosse Dolce 2 Pack (250 ML),$9.99,250 ml,0,0,
40,Bev Rose (4PK 250ML),$19.99,4pk 250ml,18,4.8,THE ONLY GOOD PART OF 2020
41,Chateau du Puch Bordeaux Rose (750 ML),$14.98,750 ml,1,4,EASY TO DRINK NOT TO SWEET.
42,L'Excellence des Muraires Rose de Provence by Bernard Magrez (750 ML),$39.98,750 ml,0,0,
44,Gerard Bertrand Cote des Roses (375 ML),$11.99,375 ml,0,0,
45,Sutter Home White Zinfandel (4PK 187 ML),$7.99,4pk 187 ml,0,0,
50,Dolce Vita Rose (750 ML),$17.98,750 ml,2,5,LOVELY ROSE
51,Kendall-Jackson Vintner's Reserve Rose (750 ML),$19.99,750 ml,0,0,
52,Joseph Perrier Brut Royale Rose Champagne (1.5 LTR),$149.99,1.5 ltr,0,0,
53,House Wine Rose Can (375 ML),$6.99,375 ml,0,0,
54,Clair de Lune Rose (750 ML),$15.98,750 ml,4,4,SO SOUR!!
55,Sutter Home Rose (4PK 187 ML),$6.99,4pk 187 ml,0,0,
56,Edna Valley Rose (750 ML),$14.99,750 ml,0,0,
57,Rose All Day Rose (750 ML),$14.99,750 ml,0,0,
58,CaMaiol Chiaretto Rose (750 ML),$16.99,750 ml,0,0,
59,Underwood Rose Bubbles (375 ML),$7.99,375 ml,0,0,
60,Cascadian Outfitters Sparkling Rose (375 ML),$5.99,375 ml,1,5,BEST SPARKLING ROSE' IN A CAN!
61,Antiquus Costieres De Nimes Rose (750 ML),$29.98,750 ml,0,0,
62,Sutter Home FRE Sparkling Rose 4 PK (4PK 250ML),$12.99,4pk 250ml,1,5,QUALITY NA BEVERAGE!
63,Roscato Rosse Dolce 2 Pack (250 ML),$9.99,250 ml,0,0,
64,Bev Rose (4PK 250ML),$19.99,4pk 250ml,18,4.8,THE ONLY GOOD PART OF 2020
65,Chateau du Puch Bordeaux Rose (750 ML),$14.98,750 ml,1,4,EASY TO DRINK NOT TO SWEET.
66,L'Excellence des Muraires Rose de Provence by Bernard Magrez (750 ML),$39.98,750 ml,0,0,
67,Underwood Rose in a can (375 ML),$7.99,375 ml,2,3.5,NOT VERY GOOD.
68,Gerard Bertrand Cote des Roses (375 ML),$11.99,375 ml,0,0,
69,Sutter Home White Zinfandel (4PK 187 ML),$7.99,4pk 187 ml,0,0,
70,Beringer Main & Vine White Merlot (750 ML),$9.99,750 ml,3,4,GREAT SURPRISE
71,Francis Coppola Sofia Rose (750 ML),$19.99,750 ml,5,4,WONDERFUL SURPRISE!
72,Stella Rosa Rose (750 ML),$19.99,750 ml,2,5,GREAT SPRING/SUMMER SELECTION
73,Domaines Ott BY.OTT Rose (750 ML),$34.99,750 ml,0,0,
74,Dolce Vita Rose (750 ML),$17.98,750 ml,2,5,LOVELY ROSE
75,Kendall-Jackson Vintner's Reserve Rose (750 ML),$19.99,750 ml,0,0,
76,Joseph Perrier Brut Royale Rose Champagne (1.5 LTR),$149.99,1.5 ltr,0,0,
77,House Wine Rose Can (375 ML),$6.99,375 ml,0,0,
78,Clair de Lune Rose (750 ML),$15.98,750 ml,4,4,SO SOUR!!
79,Sutter Home Rose (4PK 187 ML),$6.99,4pk 187 ml,0,0,
80,Edna Valley Rose (750 ML),$14.99,750 ml,0,0,
81,Rose All Day Rose (750 ML),$14.99,750 ml,0,0,
82,CaMaiol Chiaretto Rose (750 ML),$16.99,750 ml,0,0,
83,Underwood Rose Bubbles (375 ML),$7.99,375 ml,0,0,
84,Cascadian Outfitters Sparkling Rose (375 ML),$5.99,375 ml,1,5,BEST SPARKLING ROSE' IN A CAN!
85,Antiquus Costieres De Nimes Rose (750 ML),$29.98,750 ml,0,0,
86,Sutter Home FRE Sparkling Rose 4 PK (4PK 250ML),$12.99,4pk 250ml,1,5,QUALITY NA BEVERAGE!
87,Roscato Rosse Dolce 2 Pack (250 ML),$9.99,250 ml,0,0,
88,Bev Rose (4PK 250ML),$19.99,4pk 250ml,18,4.8,THE ONLY GOOD PART OF 2020
89,Chateau du Puch Bordeaux Rose (750 ML),$14.98,750 ml,1,4,EASY TO DRINK NOT TO SWEET.
90,L'Excellence des Muraires Rose de Provence by Bernard Magrez (750 ML),$39.98,750 ml,0,0,
91,Underwood Rose in a can (375 ML),$7.99,375 ml,2,3.5,NOT VERY GOOD.
92,Gerard Bertrand Cote des Roses (375 ML),$11.99,375 ml,0,0,
93,Sutter Home White Zinfandel (4PK 187 ML),$7.99,4pk 187 ml,0,0,
94,Beringer Main & Vine White Merlot (750 ML),$9.99,750 ml,3,4,GREAT SURPRISE
95,Francis Coppola Sofia Rose (750 ML),$19.99,750 ml,5,4,WONDERFUL SURPRISE!
0,Mederfil Lambrusco (750 ML),$19.98,750 ml,2,5,"NOT A ""DESSERT"" WINE!"
1,Cappelletti Aperitivo (750 ML),$27.99,750 ml,0,0,
2,Stella Rosa Black 250mL (250 ML),$4.99,250 ml,1,5,GREAT STORE
3,Nectar Creek Nectarade Lemon Lime Mead (375 ML),$17.99,375 ml,0,0,
4,Stella Rosa Blueberry (750 ML),$12.99,750 ml,0,0,
5,Gallo Sweet Vermouth (750 ML),$8.99,750 ml,2,3,VERY POOR.
17,Dow's Fine Ruby Port (750 ML),$21.99,750 ml,2,3,TERRIBLE
18,Taylor Fladgate Tawny Port (750 ML),$17.99,750 ml,0,0,
21,Dow's Late Bottled Vintage Port (750 ML),$29.99,750 ml,1,4,LOVE THE HINT OF CHERRIES
22,Warre's Late Bottled Vintage Port (750 ML),$44.99,750 ml,0,0,
23,Fonseca Late Bottled Vintage Port (750 ML),$29.99,750 ml,0,0,
24,Mederfil Lambrusco (750 ML),$19.98,750 ml,2,5,"NOT A ""DESSERT"" WINE!"
25,Cappelletti Aperitivo (750 ML),$27.99,750 ml,0,0,
26,Stella Rosa Black 250mL (250 ML),$4.99,250 ml,1,5,GREAT STORE
27,Nectar Creek Nectarade Lemon Lime Mead (375 ML),$17.99,375 ml,0,0,
28,Stella Rosa Blueberry (750 ML),$12.99,750 ml,0,0,
29,Gallo Sweet Vermouth (750 ML),$8.99,750 ml,2,3,VERY POOR.
30,Barefoot Cellars Moscato (750 ML),$7.99,750 ml,1,5,GOOD
31,ChocoVine Chocolate and Fine Wine (750 ML),$14.99,750 ml,6,4.7,WOW
32,Dolce Vita Moscato (750 ML),$19.98,750 ml,4,3.8,GREAT FLAVOR BUT SPARKLING?
33,Lillet Rose (750 ML),$29.99,750 ml,2,4.5,LOVE THIS PRODUCT
